Subgroup	Sample	Type	Normalized_depth
b3	C099-CHA-C19	Control	0.304692260816575
b3	C100-CHA-C20	Control	0.290205562273277
b3	C102-CZA02	Control	0.386151797603196
b3	C107-CZA07	r3-r4-g1-g2-b4	0.486026731470231
b3	C111-CUG03	Control	0.329067641681901
b3	C112-CUG04	r1-r2-gy1	0.0122174709835064
b3	C114-CMG01	Control	0.2999400119976
b3	C116-CMG03	CON	0.551889622075585
b3	C117-CMG04	Control	0.371702637889688
b3	C118-CMG05	Control	0.373269114990969
b3	C120-CKZ02	CON	0.558930741190765
b3	C121-CKZ03	CON	0.593692022263451
b3	C122-CKZ04	CON	0.625383200490497
b3	C127-CZH04	Control	0.240529164161155
b3	C134-CMH01	Control	0.496969696969697
b3	C137-CMH04	Control	0.305997552019584
b3	C138-CMH05	Control	0.323547034152187
b3	C139-CBY01	Control	0.352155434122647
b3	C142-CHU01	Control	0.204479065238559
b3	C144-CHU03	Control	0.459492140266022
b3	C145-CMA01	Control	0.140762463343109
b3	C148-CTJ01	Control	0.409391932570741
b3	C149-CTJ02	Control	0.35517452541335
b3	C150-CTJ03	r1-r2-gy1	0
b3	C151-CHA-E21	Control	0.405405405405405
b3	C152-CKZ06	Control	0.222222222222222
b3	C153-CHA-S21	Control	0.35
b3	C154-CBA01	r3-r4-g1-g2-b4	0.217522658610272
b3	C156-CBA03	Control	0.327272727272727
b3	KOR01	Control	0.201900237529691
b3	KOR02	Control	0.250297973778307
b3	KOR03	Control	0.175849941383353
b3	KOR04	CON	0.480093676814988
b3	KOR05	Control	0.212139068945197
b3	KOR07	CON	0.619158878504673
b4	C001-CHA-E01	Control	0.330727600721588
b4	C002-CHA-E02	Control	0.24024024024024
b4	C003-CHA-E03	Control	0.402975821450713
b4	C004-CHA-E04	Control	0.305064063453325
b4	C005-CHA-E05	CON	0
b4	C006-CHA-E06	Control	0.20995800839832
b4	C007-CHA-E07	r3-r4-g1-g2-b4	0
b4	C008-CHA-E08	Control	0.210843373493976
b4	C010-CHA-E10	r1-r2-gy1	0
b4	C011-CHA-E11	r3-r4-g2-b3-gy1	0.272232304900181
b4	C012-CHA-E12	Control	0.269299820466786
b4	C013-CHA-E13	Control	0.243605359317905
b4	C014-CHA-E14	Control	0.421179302045728
b4	C015-CHA-E15	Control	0.336391437308868
b4	C016-CHA-E16	r3-r4-g1-g2-b4	0
b4	C017-CHA-E17	Control	0.298864315600717
b4	C018-CHA-E18	Control	0.515463917525773
b4	C019-CHA-E19	Control	0.24024024024024
b4	C020-CHA-E20	Control	0.211480362537764
b4	C021-CHA-S01	Control	0.212249848392965
b4	C021-CHA-S01_2	Control	0.549450549450549
b4	C022-CHA-S02	Control	0.394656952034001
b4	C023-CHA-S03	Control	0.455650060753341
b4	C023-CHA-S03_2	Control	0.390625
b4	C024-CHA-S04	r1-r2-gy1	0.27190332326284
b4	C024-CHA-S04_2	Control	0.298864315600717
b4	C025-CHA-S05	CON	0
b4	C026-CHA-S06	Control	0.212765957446809
b4	C027-CHA-S07	Control	0.578915295551493
b4	C028-CHA-S08	Control	0.607533414337789
b4	C029-CHA-S09	Control	0.39417828987265
b4	C030-CHA-S10	Control	0.240818783865141
b4	C035-CHA-S15	Control	0.305997552019584
b4	C036-CHA-S16	r1-r2-gy1	0
b4	C037-CHA-S17	Control	0.303582270795386
b4	C038-CHA-S18	Control	0.24330900243309
b4	C039-CHA-S19	Control	0.272562083585706
b4	C040-CHA-S20	Control	0.421179302045728
b4	C041-CHA-N01	Control	0.36231884057971
b4	C042-CHA-N02	Control	0.33680342927128
b4	C044-CHA-N04	Control	0.396099939061548
b4	C045-CHA-N05	Control	0.450180072028811
b4	C046-CHA-N06	r3-r4-g1-g2-b4	0
b4	C047-CHA-N07	r3-r4-g1-g2-b4	0
b4	C048-CHA-N08	Control	0.483383685800604
b4	C049-CHA-N09	Control	0.471142520612485
b4	C050-CHA-N10	CON	0
b4	C051-CHA-N11	CON	0
b4	C052-CHA-N12	r3-r4-g2-b3-gy1	0.335570469798658
