Subgroup	Sample	Type	Normalized_depth	Median_value	Control_Normalized_depth
b1/b2	C070-CHA-NE10	Control	0.677782669308093	0.670230072042762	1.0113
b1/b2	C071-CHA-NE11	Control	0.689192813086618	0.670230072042762	1.0283
b1/b2	C072-CHA-NE12	Control	0.604594921402661	0.670230072042762	0.9021
b1/b2	C073-CHA-NE13	r3-r4-g1-g2-b4	0.685608685608686	0.670230072042762	1.0229
b1/b2	C074-CHA-NE14	Control	0.656434911242604	0.670230072042762	0.9794
b1/b2	C075-CHA-NE15	CON	0.676963101388737	0.670230072042762	1.0100
b1/b2	C076-CHA-NE16	Control	0.655487804878049	0.670230072042762	0.9780
b1/b2	C077-CHA-NE17	r3-r4-g2-b3-gy1	0.68555592021296	0.670230072042762	1.0229
b1/b2	C078-CHA-NE18	r3-r4-g1-g2-b4	0.634140767824498	0.670230072042762	0.9462
b1/b2	C079-CHA-NE19	Control	0.729620932572962	0.670230072042762	1.0886
b1/b2	C081-CHA-C01	r1-r2-gy1	0.664526036576854	0.670230072042762	0.9915
b1/b2	C082-CHA-C02	Control	0.671722643553629	0.670230072042762	1.0022
b1/b2	C083-CHA-C03	r3-r4-g1-g2-b4	0.677966101694916	0.670230072042762	1.0115
b1/b2	C084-CHA-C04	Control	0.727713765918738	0.670230072042762	1.0858
b1/b2	C086-CHA-C06	Control	0.601267168431348	0.670230072042762	0.8971
b1/b2	C087-CHA-C07	Control	0.689726168416717	0.670230072042762	1.0291
b1/b2	C088-CHA-C08	Control	0.667488190593551	0.670230072042762	0.9959
b1/b2	C089-CHA-C09	Control	0.66783286867472	0.670230072042762	0.9964
b1/b2	C090-CHA-C10	Control	0.635006157635468	0.670230072042762	0.9474
b1/b2	C091-CHA-C11	r3-r4-g1-g2-b4	0.636643629807693	0.670230072042762	0.9499
b1/b2	C094-CHA-C14	r3-r4-g1-g2-b4	0.758014767735302	0.670230072042762	1.1310
b1/b2	C095-CHA-C15	CON	0.684496250703559	0.670230072042762	1.0213
b1/b2	C096-CHA-C16	r3-r4-g2-b3-gy1	0.739913444087674	0.670230072042762	1.1040
b1/b2	C097-CHA-C17	Control	0.698031551026107	0.670230072042762	1.0415
b1/b2	C099-CHA-C19	Control	0.686260722823794	0.670230072042762	1.0239
b1/b2	C100-CHA-C20	Control	0.66412426751	0.670230072042762	0.9909
b1/b2	C102-CZA02	Control	0.71117298147924	0.670230072042762	1.0611
b1/b2	C107-CZA07	r3-r4-g1-g2-b4	0.715020095336012	0.670230072042762	1.0668
b1/b2	C111-CUG03	Control	0.654385224769137	0.670230072042762	0.9764
b1/b2	C112-CUG04	r1-r2-gy1	0.699215262440675	0.670230072042762	1.0432
b1/b2	C114-CMG01	Control	0.7262183926851	0.670230072042762	1.0835
b1/b2	C116-CMG03	CON	0.698042209739871	0.670230072042762	1.0415
b1/b2	C117-CMG04	Control	0.692173533900153	0.670230072042762	1.0327
b1/b2	C118-CMG05	Control	0.688185986199231	0.670230072042762	1.0268
b1/b2	C120-CKZ02	CON	0.661843219558893	0.670230072042762	0.9875
b1/b2	C121-CKZ03	CON	0.637755102040817	0.670230072042762	0.9515
b1/b2	C122-CKZ04	CON	0.643776824034336	0.670230072042762	0.9605
b1/b2	C127-CZH04	Control	0.659576067348166	0.670230072042762	0.9841
b1/b2	C134-CMH01	Control	0.704895104895105	0.670230072042762	1.0517
b1/b2	C137-CMH04	Control	0.667457160342717	0.670230072042762	0.9959
b1/b2	C138-CMH05	Control	0.679957150897833	0.670230072042762	1.0145
b1/b2	C139-CBY01	Control	0.604318457802064	0.670230072042762	0.9017
b1/b2	C142-CHU01	Control	0.560620813785371	0.670230072042762	0.8365
b1/b2	C144-CHU03	Control	0.68337547176725	0.670230072042762	1.0196
b1/b2	C145-CMA01	Control	0.672230994811641	0.670230072042762	1.0030
b1/b2	C148-CTJ01	Control	0.637243551150836	0.670230072042762	0.9508
b1/b2	C149-CTJ02	Control	0.618022516369117	0.670230072042762	0.9221
b1/b2	C150-CTJ03	r1-r2-gy1	0.696783720179042	0.670230072042762	1.0396
b1/b2	C151-CHA-E21	Control	0.741825741825743	0.670230072042762	1.1068
b1/b2	C152-CKZ06	Control	0.641601197156752	0.670230072042762	0.9573
b1/b2	C153-CHA-S21	Control	0.6171875	0.670230072042762	0.9209
b1/b2	C154-CBA01	r3-r4-g1-g2-b4	0.689199395770394	0.670230072042762	1.0283
b1/b2	C156-CBA03	Control	0.689044289044289	0.670230072042762	1.0281
b1/b2	KOR01	Control	0.668502123371482	0.670230072042762	0.9974
b1/b2	KOR02	Control	0.660057066493301	0.670230072042762	0.9848
b1/b2	KOR03	Control	0.633237415183489	0.670230072042762	0.9448
b1/b2	KOR04	CON	0.647576467248598	0.670230072042762	0.9662
b1/b2	KOR05	Control	0.658023963857787	0.670230072042762	0.9818
b1/b2	KOR07	CON	0.677039082412915	0.670230072042762	1.0102
b3	C001-CHA-E01	Control	0.408899579073963	0.315725561627201	1.2951
b3	C002-CHA-E02	Control	0.24024024024024	0.315725561627201	0.7609
b3	C003-CHA-E03	Control	0.483570985740856	0.315725561627201	1.5316
b3	C004-CHA-E04	Control	0.317266625991458	0.315725561627201	1.0049
b3	C005-CHA-E05	CON	0.719424460431655	0.315725561627201	2.2786
b3	C006-CHA-E06	Control	0.359928014397121	0.315725561627201	1.1400
b3	C007-CHA-E07	r3-r4-g1-g2-b4	0.710843373493976	0.315725561627201	2.2515
b3	C008-CHA-E08	Control	0.289156626506024	0.315725561627201	0.9158
b3	C010-CHA-E10	r1-r2-gy1	0.278787878787879	0.315725561627201	0.8830
b3	C011-CHA-E11	r3-r4-g2-b3-gy1	0	0.315725561627201	0.0000
b3	C012-CHA-E12	Control	0.323159784560144	0.315725561627201	1.0235
b3	C013-CHA-E13	Control	0.23142509135201	0.315725561627201	0.7330
b3	C014-CHA-E14	Control	0.312876052948255	0.315725561627201	0.9910
b3	C015-CHA-E15	Control	0.293577981651376	0.315725561627201	0.9299
b3	C016-CHA-E16	r3-r4-g1-g2-b4	0.650602409638554	0.315725561627201	2.0607
b3	C017-CHA-E17	Control	0.310818888224746	0.315725561627201	0.9845
b3	C018-CHA-E18	Control	0.424499696785931	0.315725561627201	1.3445
b3	C019-CHA-E19	Control	0.276276276276276	0.315725561627201	0.8751
b3	C020-CHA-E20	Control	0.253776435045317	0.315725561627201	0.8038
b3	C021-CHA-S01	Control	0.363856882959369	0.315725561627201	1.1524
b3	C021-CHA-S01_2	Control	0.305250305250305	0.315725561627201	0.9668
b3	C022-CHA-S02	Control	0.376442015786278	0.315725561627201	1.1923
b3	C023-CHA-S03	Control	0.473876063183475	0.315725561627201	1.5009
b3	C023-CHA-S03_2	Control	0.348557692307692	0.315725561627201	1.1040
b3	C024-CHA-S04	r1-r2-gy1	0	0.315725561627201	0.0000
b3	C024-CHA-S04_2	Control	0.334728033472803	0.315725561627201	1.0602
b3	C025-CHA-S05	CON	0.562537402752843	0.315725561627201	1.7817
b3	C026-CHA-S06	Control	0.279635258358663	0.315725561627201	0.8857
b3	C027-CHA-S07	Control	0.438756855575868	0.315725561627201	1.3897
b3	C028-CHA-S08	Control	0.279465370595383	0.315725561627201	0.8852
b3	C029-CHA-S09	Control	0.351728320194057	0.315725561627201	1.1140
b3	C030-CHA-S10	Control	0.0963275135460566	0.315725561627201	0.3051
b3	C035-CHA-S15	Control	0.391676866585067	0.315725561627201	1.2406
b3	C036-CHA-S16	r1-r2-gy1	0.371702637889688	0.315725561627201	1.1773
b3	C037-CHA-S17	Control	0.315725561627201	0.315725561627201	1.0000
b3	C038-CHA-S18	Control	0.267639902676399	0.315725561627201	0.8477
b3	C039-CHA-S19	Control	0.399757722592368	0.315725561627201	1.2662
b3	C040-CHA-S20	Control	0.276774969915764	0.315725561627201	0.8766
b3	C041-CHA-N01	Control	0.253623188405797	0.315725561627201	0.8033
b3	C042-CHA-N02	Control	0.306184935701164	0.315725561627201	0.9698
b3	C044-CHA-N04	Control	0.329067641681901	0.315725561627201	1.0423
b3	C045-CHA-N05	Control	0.168067226890756	0.315725561627201	0.5323
